industry,tam,sam,som,potential
SaaS_1,367,58,7,HIGH
LogisticsTech_2,196,38,4,HIGH
FinTech_3,156,34,3,HIGH
TravelTech_4,142,34,1,MEDIUM
PropTech_5,251,41,2,MEDIUM
FinTech_6,266,73,7,HIGH
EdTech_7,347,96,9,HIGH
TravelTech_8,283,51,3,MEDIUM
HealthTech_9,271,57,3,MEDIUM
SaaS_10,322,57,8,HIGH
TravelTech_11,436,103,9,MEDIUM
SaaS_12,384,94,13,HIGH
HealthTech_13,409,77,7,MEDIUM
TravelTech_14,290,63,6,MEDIUM
LogisticsTech_15,234,55,3,HIGH
AgriTech_16,423,121,7,MEDIUM
PropTech_17,257,39,4,MEDIUM
PropTech_18,460,83,5,MEDIUM
PropTech_19,122,20,2,MEDIUM
PropTech_20,337,77,6,MEDIUM
EdTech_21,233,46,6,HIGH
HealthTech_22,438,105,9,MEDIUM
AgriTech_23,473,77,5,MEDIUM
PropTech_24,499,89,9,MEDIUM
AgriTech_25,222,63,6,MEDIUM
AgriTech_26,139,23,2,MEDIUM
SaaS_27,308,75,4,HIGH
TravelTech_28,351,64,5,MEDIUM
TravelTech_29,429,69,7,MEDIUM
TravelTech_30,298,77,8,MEDIUM
FinTech_31,309,58,6,HIGH
HealthTech_32,360,65,7,MEDIUM
FoodTech_33,310,79,5,MEDIUM
FoodTech_34,172,43,2,MEDIUM
FinTech_35,309,58,5,HIGH
ECommerce_36,290,69,6,HIGH
HealthTech_37,196,39,2,MEDIUM
FoodTech_38,258,65,4,MEDIUM
TravelTech_39,492,107,5,MEDIUM
PropTech_40,333,69,9,MEDIUM
FoodTech_41,169,29,4,MEDIUM
TravelTech_42,136,39,3,MEDIUM
TravelTech_43,384,64,5,MEDIUM
FoodTech_44,330,72,5,MEDIUM
EdTech_45,455,118,13,HIGH
TravelTech_46,273,43,5,MEDIUM
FinTech_47,292,85,8,HIGH
LogisticsTech_48,176,36,4,HIGH
LogisticsTech_49,326,94,6,HIGH
TravelTech_50,138,24,2,MEDIUM
HealthTech_51,364,63,6,MEDIUM
FinTech_52,373,92,6,HIGH
HealthTech_53,245,60,8,MEDIUM
EdTech_54,404,73,8,HIGH
SaaS_55,234,38,4,HIGH
FoodTech_56,196,49,5,MEDIUM
EdTech_57,220,48,4,HIGH
AgriTech_58,449,67,6,MEDIUM
SaaS_59,342,101,10,HIGH
TravelTech_60,383,93,12,MEDIUM
LogisticsTech_61,386,63,5,HIGH
LogisticsTech_62,427,85,4,HIGH
EdTech_63,126,22,3,HIGH
AgriTech_64,422,81,5,MEDIUM
ECommerce_65,321,75,7,HIGH
EdTech_66,477,131,19,HIGH
LogisticsTech_67,386,108,10,HIGH
TravelTech_68,144,23,1,MEDIUM
ECommerce_69,231,36,2,HIGH
FinTech_70,192,51,6,HIGH
ECommerce_71,466,85,10,HIGH
PropTech_72,266,73,4,MEDIUM
ECommerce_73,168,37,2,HIGH
HealthTech_74,444,81,10,MEDIUM
FoodTech_75,421,66,5,MEDIUM
FoodTech_76,398,98,10,MEDIUM
FinTech_77,150,31,3,HIGH
HealthTech_78,461,97,8,MEDIUM
SaaS_79,132,26,1,HIGH
LogisticsTech_80,226,47,2,HIGH
ECommerce_81,349,93,8,HIGH
FinTech_82,315,48,5,HIGH
TravelTech_83,295,49,3,MEDIUM
EdTech_84,124,30,4,HIGH
ECommerce_85,340,58,3,HIGH
EdTech_86,497,91,5,HIGH
SaaS_87,457,129,19,HIGH
TravelTech_88,202,57,4,MEDIUM
HealthTech_89,375,67,3,MEDIUM
TravelTech_90,459,71,4,MEDIUM
LogisticsTech_91,152,43,4,HIGH
TravelTech_92,378,101,13,MEDIUM
ECommerce_93,181,52,4,HIGH
SaaS_94,139,30,3,HIGH
EdTech_95,176,47,4,HIGH
ECommerce_96,264,78,7,HIGH
TravelTech_97,129,20,1,MEDIUM
PropTech_98,305,54,7,MEDIUM
HealthTech_99,356,104,11,MEDIUM
AgriTech_100,154,26,2,MEDIUM
