name,industry,description
Urban Company,Apps,Urban is a marketplace for independent contractors.
Classplus,B2B,Classplus is a mobile-first SaaS platform that allows 3000+ tutors to totally automate their curriculum and operations.
Paytm,E-Commerce,Paytm is a payment gateway that allows users and businesses to make payments.
Apna,Employment,Apna is a professional networking and job-search platform that connects blue- and gray-collar professionals with like-minded people and places to work.
Razorpay,Financial Services,"Razorpay is a payment acceptance, processing, and disbursement platform for businesses."
UpGrad,E-Learning,"UpGrad is a higher education portal that offers courses in Data Science, Technology, Management, and Law online."
Delhivery,E-Commerce,"Delhivery is a supply chain management firm that specializes in transportation, warehousing, freight, and order fulfillment."
1mg,Delivery,1mg is a generic drug engine and online pharmacy network platform.
BigBasket,Delivery,BigBasket is an online grocery and meal delivery service that brings personal and household items to customers' doorsteps.
GoMechanic,Automotive,GoMechanic is an online vehicle repair platform that allows consumers to arrange car maintenance at a convenient time.
Unacademy,E-Learning,Unacademy is a web-based learning portal that offers educational materials such as video lectures and exams.
Ola,Apps,Ola is an Indian mobility platform and ride-hailing firm.
Licious,Delivery Service,Licious is an online meat and seafood ordering firm with a complete business model.
CRED,Credit Cards,CRED is a members-only credit card management and bill-paying website that pays customers for paying their bills on time.
CityMall,Consumer Goods,CityMall is a peer-to-peer e-commerce company that offers lifestyle and curated products through WhatsApp referrals.
Pine Labs,Financial Services,Pine Labs is a merchant commerce platform that offers merchants funding and technology for last-mile retail transactions.
Dodla Dairy,Consumer Goods,Dodla Dairy processes and distributes milk and dairy products with added value.
Groww,Financial Services,Groww is a new investment platform that combines stockbroking and direct mutual funds to provide a new way to invest money.
Grofers,Delivery,Grofers is a low-cost online supermarket that also delivers groceries.
Jumbotail,E-Commerce,Jumbotail is an online marketplace that makes groceries and food purchasing easier.
slice,Banking,"Slice is the finest credit card challenger in India for paying bills, managing finances, and earning quick rewards."
InMobi,Advertising,InMobi creates an ad serving algorithm that aids in the optimization of the ranking of advertising displayed on mobile phones.
Dunzo,Delivery,Dunzo is a hyper-local delivery app that matches consumers with the closest delivery partner.
BYJU’S,E-Learning,BYJU'S is an educational technology firm that creates tailored learning programs for kids in grades K through 12.
Cashfree,Finance,Cashfree is a payments and banking technology startup based in India that helps businesses collect payments and make payouts online.
MediBuddy,Health Care,"MediBuddy is a digital healthcare platform that offers inpatient and outpatient hospitalization, as well as corporate wellness benefits."
Progcap,Enterprise,Progcap is a financial services firm that assists micro and small businesses with financing.
Capital Float,B2B,Cash Float is an online platform that helps small businesses get operating capital.
CARS24,Artificial Intelligence,CARS24 is a technologically advanced platform for buying and selling used vehicles.
Bharat Biotech,Biotechnology,India's second-largest vaccine manufacturer
Skillmatics,Children,Skillmatics creates educational games for children in pre-school and primary school.
Rapido,Information Services,Rapido is an online bike taxi aggregator and logistics service that enables people to share their bicycles with others.
Reliance Jio,Apps,Reliance Jio is a telecommunications firm that provides high-speed mobile internet connection in India.
YourStory,Information Technology,YourStory.com is a media website that focuses on India's startup scene.
Kodo,B2B,Kodo is a fintech startup that focuses on small businesses' corporate card and B2B payments needs.
Practo,Health Care,"Practo is a mhealth platform that allows patients to make appointments, check-ups, and consultations with healthcare practitioners."
NiYO Solutions,Finance,NiYO is a fintech startup that makes it easier for salaried employees to get access to business benefits and other financial services.
Reliance Retail,Consumer Goods,"Reliance Retail operates a chain of local stores, supermarkets, and wholesale/specialty stores, as well as an online store."
Locus.sh,Big Data,Locus is a logistics-focused intelligent decision-making and automation platform.
KreditBee,Financial Services,KreditBee is a digital loan platform that was created to help young professionals manage their finances.
boAt,Consumer Electronics,"boAt is a domestic audio-tech earwear firm that specializes on well-designed, aspirational items at affordable prices."
Flipkart,E-Commerce,Flipkart is an e-commerce platform with over 30 million products in more than 70 categories.
MobiKwik,Consumer Lending,"MobiKwik is India's leading fintech platform, with consumer payments, payment gateways, and financial services as its core operations."
Cuemath,E-Learning,Cuemath is an international online learning platform that provides K–10 pupils with math and coding curriculum.
Jai Kisan,Agriculture,Jai Kisan is a finance platform that serves rural emerging markets with long-term funding.
Infra.Market,Construction,Infra.Market is an online marketplace for all types of materials and products used in construction projects.
Xpressbees,Delivery Service,Xpressbees is an e-commerce logistics company that provides its partners with dependable logistical solutions.
Northern Arc,Enterprise,Northern Arc Capital is a non-banking finance company that connects debt investors with borrowers.
Toppr,E-Learning,Toppr is an after-school learning software that offers assistance for admission exams and learning courses.
MyGlamm,Beauty,"MyGlamm is a direct-to-consumer beauty firm that connects stylists, beauticians, nail technicians, and spa aestheticians with customers."
ZoomCar,Automotive,"ZoomCar is a self-drive car rental firm that lets customers rent cars by the hour, day, or week."
Snapdeal,Consumer Electronics,"Snapdeal is India's largest no-frills, value-focused marketplace, with products from 500,000+ sellers across 600+ categories."
WhiteHat Education Technology,Education,Whitehar Jr. is one of the most popular and effective computer programming learning websites for children.
CarDekho,Automotive,CarDekho is working to digitize India's automotive ecosystem.
Koo App,Apps,Koo App is a social networking platform headquartered in India that allows users to post audio and video.
Porter,E-Commerce,Porter assists companies in improving their last-mile delivery operations.
Skyroot Aerospace,Aerospace,"Skyroot Aerospace is India's first space launch vehicle company, producing rockets for low-cost access to space."
Holisol logistics,Business Development,HoliSol Logistics is a B2C and B2B supply chain solutions company that specializes in multi-channel fulfillment.
Exotel,Cloud Data Services,"For small and medium businesses in India, Exotel offers cloud telephony services such as virtual phone lines and telephony applications."
CarTrade,Auctions,CarTrade.com is India's premier online automotive marketplace for new and used vehicle buyers and sellers.
OPEN,Banking,Open creates and sells an online banking and intercompany settlement platform.
InCred,Banking,InCred is a financial services platform that makes lending simple and rapid by combining technology and data science.
Pepperfry,E-Commerce,Pepperfry is an online furniture marketplace that sells anything from furniture to home decor.
Shadowfax,Delivery Service,Shadowfax is a tech-enabled on-demand logistics network that offers one-stop delivery solutions.
The Man Company,Beauty,Grooming products for men. Come celebrate your manhood.
Agnikul,Aerospace,"Agnikul is a space technology company that designs, builds, tests, and launches orbital class rockets for micro and nano satellites."
